Rule 21:
If mother ?b, then parent ?b.
Rudolph Duke of Lorraine has parent Elisabeth of Austria Duchess of Lorraine, Rudolph Duke of Lorraine has mother Elisabeth of Austria Duchess of Lorraine The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Marie Caroline of Bourbo Two Sicilies Duchess of Berry has parent Archduchess Maria Clementina of Austria, Marie Caroline of Bourbo Two Sicilies Duchess of Berry has mother Archduchess Maria Clementina of Austria The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Judith of Bavaria died 843 has parent Hedwig of Bavaria, Judith of Bavaria died 843 has mother Hedwig of Bavaria The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Hemma has parent Hedwig of Bavaria, Hemma has mother Hedwig of Bavaria The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Napoleon II has parent Marie Louise Duchess of Parma, Napoleon II has mother Marie Louise Duchess of Parma The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Isabel of Barcelos, Isabel of Barcelos has mother Beatriz Pereira de Alvim The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Henry the Lion has parent Gertrude of S pplingenburg, Henry the Lion has mother Gertrude of S pplingenburg The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Ermentrude of Orl ans has parent Engeltrude de F zensac, Ermentrude of Orl ans has mother Engeltrude de F zensac The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Isabella of Portugal Queen of Castile has parent Isabel of Barcelos, Isabella of Portugal Queen of Castile has mother Isabel of Barcelos The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Anne Gonzaga, Anne Gonzaga has mother Catherine of Mayenne The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Elizabeth of Austria 1436 1505 has parent Elizabeth of Luxembourg, Elizabeth of Austria 1436 1505 has mother Elizabeth of Luxembourg The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Countess Palatine Caroline of Zweibr cken has parent Countess Caroline of Nassau Saarbr cken, Countess Palatine Caroline of Zweibr cken has mother Countess Caroline of Nassau Saarbr cken The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Louis the German has parent Ermengarde of Hesbaye, Louis the German has mother Ermengarde of Hesbaye The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Marie of Luxembourg Countess of Vend me has parent Margaret of Savoy Countess of Saint Pol, Marie of Luxembourg Countess of Vend me has mother Margaret of Savoy Countess of Saint Pol The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
John VII Duke of Mecklenburg Schwerin has parent Anna Sophia of Prussia, John VII Duke of Mecklenburg Schwerin has mother Anna Sophia of Prussia The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Yolande of Aragon, Yolande of Aragon has mother Violant of Bar The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Hugh II Duke of Burgundy has parent Sibylla of Burgundy Duchess of Burgundy, Hugh II Duke of Burgundy has mother Sibylla of Burgundy Duchess of Burgundy The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Louis II of Anjou has parent Marie of Blois Duchess of Anjou, Louis II of Anjou has mother Marie of Blois Duchess of Anjou The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Margaret of Austria Queen of Spain has parent Maria Anna of Bavaria born 1551, Margaret of Austria Queen of Spain has mother Maria Anna of Bavaria born 1551 The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Geoffrey Plantagenet Count of Anjou has parent Ermengarde Countess of Maine, Geoffrey Plantagenet Count of Anjou has mother Ermengarde Countess of Maine The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Sibylla of Anjou has parent Ermengarde Countess of Maine, Sibylla of Anjou has mother Ermengarde Countess of Maine The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Arnulf I Count of Flanders has parent  lfthryth Countess of Flanders, Arnulf I Count of Flanders has mother  lfthryth Countess of Flanders The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Mary of Hungary Queen of Naples, Mary of Hungary Queen of Naples has mother Elizabeth the Cuman The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Hugh the Great, Hugh the Great has mother Beatrice of Vermandois The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Elisabeth Farnese has parent Countess Palatine Dorothea Sophie of Neuburg, Elisabeth Farnese has mother Countess Palatine Dorothea Sophie of Neuburg The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
William V Duke of Aquitaine has parent Emma of Blois, William V Duke of Aquitaine has mother Emma of Blois The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Countess Sophia Albertine of Erbach Erbach, Countess Sophia Albertine of Erbach Erbach has mother Countess Amalia Katharina of Waldeck The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
James V of Scotland has parent Margaret Tudor, James V of Scotland has mother Margaret Tudor The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Isabeau of Bavaria has parent Taddea Visconti, Isabeau of Bavaria has mother Taddea Visconti The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Margaret of Flanders Duchess of Brabant has parent Matilda of B thune, Margaret of Flanders Duchess of Brabant has mother Matilda of B thune The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Marie of Brabant Queen of France has parent Adelaide of Burgundy Duchess of Brabant, Marie of Brabant Queen of France has mother Adelaide of Burgundy Duchess of Brabant The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Elisabeth of Nuremberg has parent Elisabeth of Meissen, Elisabeth of Nuremberg has mother Elisabeth of Meissen The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Marie Countess of Ponthieu has parent Alys of France Countess of Vexin, Marie Countess of Ponthieu has mother Alys of France Countess of Vexin The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Maria Christina of the Two Sicilies has parent Mar a Isabella of Spain, Maria Christina of the Two Sicilies has mother Mar a Isabella of Spain The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
John the Fearless, John the Fearless has mother Margaret III Countess of Flanders The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Frederick I Duke of Lorraine, Frederick I Duke of Lorraine has mother Bertha Duchess of Lorraine The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Henry II Duke of Brabant, Henry II Duke of Brabant has mother Matilda of Boulogne Duchess of Brabant The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Otto II Duke of Bavaria, Otto II Duke of Bavaria has mother Ludmilla of Bohemia The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Matthias I Duke of Lorraine has parent Adelaide of Leuven, Matthias I Duke of Lorraine has mother Adelaide of Leuven The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Catherine of Foix Countess of Candale, Catherine of Foix Countess of Candale has mother Eleanor of Navarre The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Margaret of Foix has parent Eleanor of Navarre, Margaret of Foix has mother Eleanor of Navarre The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Henry the Fowler, Henry the Fowler has mother Hedwig of Babenberg The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Blanche of Burgundy has parent Mahaut Countess of Artois, Blanche of Burgundy has mother Mahaut Countess of Artois The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Countess Palatine Dorothea Sophie of Neuburg, Countess Palatine Dorothea Sophie of Neuburg has mother Landgravine Elisabeth Amalie of Hesse Darmstadt The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Ferdinand II of Aragon has parent Juana Enr quez, Ferdinand II of Aragon has mother Juana Enr quez The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Ramon Berenguer II Count of Barcelona, Ramon Berenguer II Count of Barcelona has mother Almodis de la Marche The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Charles Emmanuel II Duke of Savoy has parent Christine of France, Charles Emmanuel II Duke of Savoy has mother Christine of France The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Reginald I Count of Burgundy has parent Ermentrude de Roucy, Reginald I Count of Burgundy has mother Ermentrude de Roucy The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Louis III of France has parent Ansgarde of Burgundy, Louis III of France has mother Ansgarde of Burgundy The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Joan I of Navarre has parent Blanche of Artois, Joan I of Navarre has mother Blanche of Artois The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Ren  II Duke of Lorraine, Ren  II Duke of Lorraine has mother Yolande Duchess of Lorraine The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Victor Amadeus I Duke of Savoy has parent Catalina Micaela of Spain, Victor Amadeus I Duke of Savoy has mother Catalina Micaela of Spain The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Charles the Simple has parent Adelaide of Paris, Charles the Simple has mother Adelaide of Paris The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Mary of Guise has parent Antoinette of Bourbon, Mary of Guise has mother Antoinette of Bourbon The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Eleanor of Aquitaine, Eleanor of Aquitaine has mother A nor de Ch tellerault The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Philip I of Castile has parent Mary of Burgundy, Philip I of Castile has mother Mary of Burgundy The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Afonso IV of Portugal has parent Elizabeth of Portugal, Afonso IV of Portugal has mother Elizabeth of Portugal The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Joan II of Navarre, Joan II of Navarre has mother Margaret of Burgundy Queen of France The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
John of Gaunt has parent Philippa of Hainault, John of Gaunt has mother Philippa of Hainault The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
George II of Great Britain, George II of Great Britain has mother Sophia Dorothea of Celle The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Gertrude of Saxony has parent Eilika of Schweinfurt, Gertrude of Saxony has mother Eilika of Schweinfurt The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Princess Augusta of Saxe Gotha has parent Princess Magdalena Augusta of Anhalt Zerbst, Princess Augusta of Saxe Gotha has mother Princess Magdalena Augusta of Anhalt Zerbst The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Adolphus Frederick I Duke of Mecklenburg Schwerin has parent Sophia of Holstei Gottorp, Adolphus Frederick I Duke of Mecklenburg Schwerin has mother Sophia of Holstei Gottorp The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Maria Teresa Felicitas d Este has parent Charlotte Agla  d Orl ans, Maria Teresa Felicitas d Este has mother Charlotte Agla  d Orl ans The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Baldwin V Count of Flanders has parent Ogive of Luxembourg, Baldwin V Count of Flanders has mother Ogive of Luxembourg The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
William VIII Duke of Aquitaine has parent Agnes of Burgundy Duchess of Aquitaine, William VIII Duke of Aquitaine has mother Agnes of Burgundy Duchess of Aquitaine The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Maria Luisa of Parma has parent Louise  lisabeth of France, Maria Luisa of Parma has mother Louise  lisabeth of France The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Alfonso X of Castile has parent Elisabeth of Swabia, Alfonso X of Castile has mother Elisabeth of Swabia The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Catherine de Medici, Catherine de Medici has mother Madeleine de La Tour d Auvergne The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Beatrice of Savoy has parent Margaret of Geneva, Beatrice of Savoy has mother Margaret of Geneva The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Baldwin II Margrave of Flanders has parent Judith of Flanders, Baldwin II Margrave of Flanders has mother Judith of Flanders The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Marie Eleonore of Cleves, Marie Eleonore of Cleves has mother Maria of Austria Duchess of J lich Cleves Berg The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
John II of France has parent Joan the Lame, John II of France has mother Joan the Lame The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Mary Tudor Queen of France, Mary Tudor Queen of France has mother Elizabeth of York The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Charlotte of Mecklenburg Strelitz has parent Princess Elisabeth Albertine of Saxe Hildburghausen, Charlotte of Mecklenburg Strelitz has mother Princess Elisabeth Albertine of Saxe Hildburghausen The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Eug nie de Montijo has parent Mar a Manuela Kirkpatrick de Grevign e, Eug nie de Montijo has mother Mar a Manuela Kirkpatrick de Grevign e The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Hugh Capet, Hugh Capet has mother Hedwig of Saxony The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Beatrice of Portugal died 1381 has parent In s de Castro, Beatrice of Portugal died 1381 has mother In s de Castro The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Maria Theresa of Spain has parent Elisabeth of France 1602 1644, Maria Theresa of Spain has mother Elisabeth of France 1602 1644 The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Richard Count of  tampes has parent Joan of Navarre Queen of England, Richard Count of  tampes has mother Joan of Navarre Queen of England The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Elisabeth Christine of Brunswic Wolfenb ttel, Elisabeth Christine of Brunswic Wolfenb ttel has mother Princess Christine Louise of Oettinge Oettingen The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Philippa of Hainault, Philippa of Hainault has mother Joan of Valois Countess of Hainaut The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Baldwin III Count of Hainaut has parent Ida Countess of Hainaut, Baldwin III Count of Hainaut has mother Ida Countess of Hainaut The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Magdalene Sibylle of Prussia has parent Marie Eleonore of Cleves, Magdalene Sibylle of Prussia has mother Marie Eleonore of Cleves The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Bertha of Burgundy has parent Matilda of France, Bertha of Burgundy has mother Matilda of France The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Princess Louise of Hesse Darmstadt 1757 1830, Princess Louise of Hesse Darmstadt 1757 1830 has mother Countess Palatine Caroline of Zweibr cken The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Berenguer Ramon I Count of Barcelona, Berenguer Ramon I Count of Barcelona has mother Ermesinde of Carcassonne The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Isabella of Portugal has parent Maria of Aragon Queen of Portugal, Isabella of Portugal has mother Maria of Aragon Queen of Portugal The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Charles Duke of Vend me has parent Marie of Luxembourg Countess of Vend me, Charles Duke of Vend me has mother Marie of Luxembourg Countess of Vend me The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Margaret Countess of Anjou has parent Mary of Hungary Queen of Naples, Margaret Countess of Anjou has mother Mary of Hungary Queen of Naples The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Odo of France, Odo of France has mother Adelaide of Tours The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Maud Chaworth has parent Isabella de Beauchamp, Maud Chaworth has mother Isabella de Beauchamp The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Adelaide of Burgundy Duchess of Brabant has parent Yolande of Dreux Duchess of Burgundy, Adelaide of Burgundy Duchess of Brabant has mother Yolande of Dreux Duchess of Burgundy The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Henry IV of France has parent Jeanne d Albret, Henry IV of France has mother Jeanne d Albret The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Leopold III Duke of Austria, Leopold III Duke of Austria has mother Joanna of Pfirt The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Galeazzo Maria Sforza has parent Bianca Maria Visconti, Galeazzo Maria Sforza has mother Bianca Maria Visconti The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
John I Count of Hainaut has parent Margaret II Countess of Flanders, John I Count of Hainaut has mother Margaret II Countess of Flanders The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Victor Amadeus III of Sardinia has parent Polyxena of Hesse Rotenburg, Victor Amadeus III of Sardinia has mother Polyxena of Hesse Rotenburg The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Charles the Bold, Charles the Bold has mother Isabella of Portugal Duchess of Burgundy The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Fulk King of Jerusalem has parent Bertrade of Montfort, Fulk King of Jerusalem has mother Bertrade of Montfort The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Francis II Duke of Brittany has parent Margaret Countess of Vertus, Francis II Duke of Brittany has mother Margaret Countess of Vertus The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Elisabeth of Meissen has parent Matilda of Bavaria Margravine of Meissen, Elisabeth of Meissen has mother Matilda of Bavaria Margravine of Meissen The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Mar a Isabella of Spain, Mar a Isabella of Spain has mother Maria Luisa of Parma The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Willa of Tuscany, Willa of Tuscany has mother Willa of Burgundy The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Jeanne de Bourbon Duchess of Bourbon has parent Isabelle de Beauvau, Jeanne de Bourbon Duchess of Bourbon has mother Isabelle de Beauvau The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Sophia of Minsk has parent Richeza of Poland Queen of Sweden, Sophia of Minsk has mother Richeza of Poland Queen of Sweden The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Frederick III Holy Roman Emperor, Frederick III Holy Roman Emperor has mother Cymburgis of Masovia The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Robert II of France has parent Adelaide of Aquitaine, Robert II of France has mother Adelaide of Aquitaine The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Blanche of Castile, Blanche of Castile has mother Eleanor of England Queen of Castile The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Philip II of France has parent Adela of Champagne, Philip II of France has mother Adela of Champagne The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Ramon Berenguer IV Count of Provence has parent Garsenda Countess of Forcalquier, Ramon Berenguer IV Count of Provence has mother Garsenda Countess of Forcalquier The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Sophia of Saxe Weissenfels Princess of Anhalt Zerbst, Sophia of Saxe Weissenfels Princess of Anhalt Zerbst has mother Anna Maria of Mecklenburg Schwerin The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Magnus II Duke of Brunswic L neburg has parent Sophia of Brandenburg, Magnus II Duke of Brunswic L neburg has mother Sophia of Brandenburg The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Baldwin V Count of Hainaut, Baldwin V Count of Hainaut has mother Alice of Namur The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no

Rule Statistics:
- PCA Confidence: 0.9258
- Rule Classification: POSITIVE (PCA Confidence 0.9258 >= threshold 0.5)
- Standard Confidence: 0.7647
- Head Coverage: 0.3298
