Rule 3:
If mother ?a, then successor ?b.
Ermengarde Countess of Maine, Geoffrey Plantagenet Count of Anjou has mother Ermengarde Countess of Maine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Ermengarde Countess of Maine, Sibylla of Anjou has mother Ermengarde Countess of Maine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
 lfthryth Countess of Flanders, Arnulf I Count of Flanders has mother  lfthryth Countess of Flanders. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Elizabeth the Cuman, Mary of Hungary Queen of Naples has mother Elizabeth the Cuman. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Beatrice of Vermandois, Hugh the Great has mother Beatrice of Vermandois. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Countess Palatine Dorothea Sophie of Neuburg, Elisabeth Farnese has mother Countess Palatine Dorothea Sophie of Neuburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Emma of Blois, William V Duke of Aquitaine has mother Emma of Blois. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Countess Amalia Katharina of Waldeck, Countess Sophia Albertine of Erbach Erbach has mother Countess Amalia Katharina of Waldeck. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Margaret Tudor, James V of Scotland has mother Margaret Tudor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Taddea Visconti, Isabeau of Bavaria has mother Taddea Visconti. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Matilda of B thune, Margaret of Flanders Duchess of Brabant has mother Matilda of B thune. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Adelaide of Burgundy Duchess of Brabant, Marie of Brabant Queen of France has mother Adelaide of Burgundy Duchess of Brabant. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Elisabeth of Meissen, Elisabeth of Nuremberg has mother Elisabeth of Meissen. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Alys of France Countess of Vexin, Marie Countess of Ponthieu has mother Alys of France Countess of Vexin. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Mar a Isabella of Spain, Maria Christina of the Two Sicilies has mother Mar a Isabella of Spain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Margaret III Countess of Flanders, John the Fearless has mother Margaret III Countess of Flanders. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Bertha Duchess of Lorraine, Frederick I Duke of Lorraine has mother Bertha Duchess of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Matilda of Boulogne Duchess of Brabant, Henry II Duke of Brabant has mother Matilda of Boulogne Duchess of Brabant. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Ludmilla of Bohemia, Otto II Duke of Bavaria has mother Ludmilla of Bohemia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Adelaide of Leuven, Matthias I Duke of Lorraine has mother Adelaide of Leuven. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Eleanor of Navarre, Catherine of Foix Countess of Candale has mother Eleanor of Navarre. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Eleanor of Navarre, Margaret of Foix has mother Eleanor of Navarre. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Hedwig of Babenberg, Henry the Fowler has mother Hedwig of Babenberg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Mahaut Countess of Artois, Blanche of Burgundy has mother Mahaut Countess of Artois. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Landgravine Elisabeth Amalie of Hesse Darmstadt, Countess Palatine Dorothea Sophie of Neuburg has mother Landgravine Elisabeth Amalie of Hesse Darmstadt. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Juana Enr quez, Ferdinand II of Aragon has mother Juana Enr quez. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Almodis de la Marche, Ramon Berenguer II Count of Barcelona has mother Almodis de la Marche. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Christine of France, Charles Emmanuel II Duke of Savoy has mother Christine of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Ermentrude de Roucy, Reginald I Count of Burgundy has mother Ermentrude de Roucy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Ansgarde of Burgundy, Louis III of France has mother Ansgarde of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Blanche of Artois, Joan I of Navarre has mother Blanche of Artois. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Yolande Duchess of Lorraine, Ren  II Duke of Lorraine has mother Yolande Duchess of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Catalina Micaela of Spain, Victor Amadeus I Duke of Savoy has mother Catalina Micaela of Spain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Adelaide of Paris, Charles the Simple has mother Adelaide of Paris. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Antoinette of Bourbon, Mary of Guise has mother Antoinette of Bourbon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
A nor de Ch tellerault, Eleanor of Aquitaine has mother A nor de Ch tellerault. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Mary of Burgundy, Philip I of Castile has mother Mary of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Elizabeth of Portugal, Afonso IV of Portugal has mother Elizabeth of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Margaret of Burgundy Queen of France, Joan II of Navarre has mother Margaret of Burgundy Queen of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Philippa of Hainault, John of Gaunt has mother Philippa of Hainault. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Sophia Dorothea of Celle, George II of Great Britain has mother Sophia Dorothea of Celle. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Eilika of Schweinfurt, Gertrude of Saxony has mother Eilika of Schweinfurt. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Princess Magdalena Augusta of Anhalt Zerbst, Princess Augusta of Saxe Gotha has mother Princess Magdalena Augusta of Anhalt Zerbst. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Sophia of Holstei Gottorp, Adolphus Frederick I Duke of Mecklenburg Schwerin has mother Sophia of Holstei Gottorp. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Charlotte Agla  d Orl ans, Maria Teresa Felicitas d Este has mother Charlotte Agla  d Orl ans. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Ogive of Luxembourg, Baldwin V Count of Flanders has mother Ogive of Luxembourg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Agnes of Burgundy Duchess of Aquitaine, William VIII Duke of Aquitaine has mother Agnes of Burgundy Duchess of Aquitaine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Louise  lisabeth of France, Maria Luisa of Parma has mother Louise  lisabeth of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Elisabeth of Swabia, Alfonso X of Castile has mother Elisabeth of Swabia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Madeleine de La Tour d Auvergne, Catherine de Medici has mother Madeleine de La Tour d Auvergne. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Margaret of Geneva, Beatrice of Savoy has mother Margaret of Geneva. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Judith of Flanders, Baldwin II Margrave of Flanders has mother Judith of Flanders. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Maria of Austria Duchess of J lich Cleves Berg, Marie Eleonore of Cleves has mother Maria of Austria Duchess of J lich Cleves Berg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Joan the Lame, John II of France has mother Joan the Lame. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Elizabeth of York, Mary Tudor Queen of France has mother Elizabeth of York. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Princess Elisabeth Albertine of Saxe Hildburghausen, Charlotte of Mecklenburg Strelitz has mother Princess Elisabeth Albertine of Saxe Hildburghausen. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Mar a Manuela Kirkpatrick de Grevign e, Eug nie de Montijo has mother Mar a Manuela Kirkpatrick de Grevign e. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Hedwig of Saxony, Hugh Capet has mother Hedwig of Saxony. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
In s de Castro, Beatrice of Portugal died 1381 has mother In s de Castro. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Elisabeth of France 1602 1644, Maria Theresa of Spain has mother Elisabeth of France 1602 1644. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Joan of Navarre Queen of England, Richard Count of  tampes has mother Joan of Navarre Queen of England. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Princess Christine Louise of Oettinge Oettingen, Elisabeth Christine of Brunswic Wolfenb ttel has mother Princess Christine Louise of Oettinge Oettingen. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Joan of Valois Countess of Hainaut, Philippa of Hainault has mother Joan of Valois Countess of Hainaut. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Ida Countess of Hainaut, Baldwin III Count of Hainaut has mother Ida Countess of Hainaut. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Marie Eleonore of Cleves, Magdalene Sibylle of Prussia has mother Marie Eleonore of Cleves. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Matilda of France, Bertha of Burgundy has mother Matilda of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Countess Palatine Caroline of Zweibr cken, Princess Louise of Hesse Darmstadt 1757 1830 has mother Countess Palatine Caroline of Zweibr cken. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Ermesinde of Carcassonne, Berenguer Ramon I Count of Barcelona has mother Ermesinde of Carcassonne. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Maria of Aragon Queen of Portugal, Isabella of Portugal has mother Maria of Aragon Queen of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Marie of Luxembourg Countess of Vend me, Charles Duke of Vend me has mother Marie of Luxembourg Countess of Vend me. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Mary of Hungary Queen of Naples, Margaret Countess of Anjou has mother Mary of Hungary Queen of Naples. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Adelaide of Tours, Odo of France has mother Adelaide of Tours. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Isabella de Beauchamp, Maud Chaworth has mother Isabella de Beauchamp. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Yolande of Dreux Duchess of Burgundy, Adelaide of Burgundy Duchess of Brabant has mother Yolande of Dreux Duchess of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Jeanne d Albret has successor Henry IV of France, Henry IV of France has mother Jeanne d Albret. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: yes
Joanna of Pfirt, Leopold III Duke of Austria has mother Joanna of Pfirt. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Bianca Maria Visconti, Galeazzo Maria Sforza has mother Bianca Maria Visconti. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Margaret II Countess of Flanders, John I Count of Hainaut has mother Margaret II Countess of Flanders. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Polyxena of Hesse Rotenburg, Victor Amadeus III of Sardinia has mother Polyxena of Hesse Rotenburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Isabella of Portugal Duchess of Burgundy, Charles the Bold has mother Isabella of Portugal Duchess of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Bertrade of Montfort, Fulk King of Jerusalem has mother Bertrade of Montfort. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Margaret Countess of Vertus, Francis II Duke of Brittany has mother Margaret Countess of Vertus. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Matilda of Bavaria Margravine of Meissen, Elisabeth of Meissen has mother Matilda of Bavaria Margravine of Meissen. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Maria Luisa of Parma, Mar a Isabella of Spain has mother Maria Luisa of Parma. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Willa of Burgundy, Willa of Tuscany has mother Willa of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Isabelle de Beauvau, Jeanne de Bourbon Duchess of Bourbon has mother Isabelle de Beauvau. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Richeza of Poland Queen of Sweden, Sophia of Minsk has mother Richeza of Poland Queen of Sweden. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Cymburgis of Masovia, Frederick III Holy Roman Emperor has mother Cymburgis of Masovia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Adelaide of Aquitaine, Robert II of France has mother Adelaide of Aquitaine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Eleanor of England Queen of Castile, Blanche of Castile has mother Eleanor of England Queen of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Adela of Champagne, Philip II of France has mother Adela of Champagne. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Garsenda Countess of Forcalquier, Ramon Berenguer IV Count of Provence has mother Garsenda Countess of Forcalquier. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Anna Maria of Mecklenburg Schwerin, Sophia of Saxe Weissenfels Princess of Anhalt Zerbst has mother Anna Maria of Mecklenburg Schwerin. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Sophia of Brandenburg, Magnus II Duke of Brunswic L neburg has mother Sophia of Brandenburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Alice of Namur, Baldwin V Count of Hainaut has mother Alice of Namur. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no

Rule Statistics:
- PCA Confidence: 0.4231
- Rule Classification: NEGATIVE (PCA Confidence 0.4231 < threshold 0.5)
- Standard Confidence: 0.0270
- Head Coverage: 0.0311
